event_type,client_timestamp_ms,server_timestamp,session_elapsed_sec,metadata_json
question_onset,69244.69999999925,1779276547.6651483,58.127,"{""question_id"": 5, ""difficulty"": ""orta"", ""category"": ""U"", ""question_index"": 0}"
question_response,71443.40000000224,1779276549.8271663,60.289,"{""question_id"": 5, ""difficulty"": ""orta"", ""category"": ""U"", ""selected_answer"": 1, ""correct_answer"": 3, ""is_correct"": false, ""rt_ms"": 2199}"
question_onset,71446.10000000149,1779276549.8301733,60.292,"{""question_id"": 7, ""difficulty"": ""orta"", ""category"": ""A"", ""question_index"": 1}"
question_response,72771.0,1779276551.1544535,61.616,"{""question_id"": 7, ""difficulty"": ""orta"", ""category"": ""A"", ""selected_answer"": 2, ""correct_answer"": 2, ""is_correct"": true, ""rt_ms"": 1325}"
stimulus_onset,72773.0,1779276551.1590629,61.621,"{""question_id"": 21, ""stim_type"": ""nback"", ""stim_dur"": 12000}"
stimulus_offset,84780.5,1779276563.1663544,73.628,"{""question_id"": 21}"
question_onset,84785.69999999925,1779276563.1718316,73.633,"{""question_id"": 21, ""difficulty"": ""orta"", ""category"": ""B"", ""question_index"": 2}"
question_response,85702.69999999925,1779276564.0871425,74.549,"{""question_id"": 21, ""difficulty"": ""orta"", ""category"": ""B"", ""selected_answer"": 1, ""correct_answer"": 1, ""is_correct"": true, ""rt_ms"": 917}"
stimulus_onset,85705.5,1779276564.0891535,74.551,"{""question_id"": 22, ""stim_type"": ""sternberg"", ""stim_dur"": 15000}"
stimulus_offset,100713.0,1779276579.413274,89.875,"{""question_id"": 22}"
question_onset,100718.69999999925,1779276579.417173,89.879,"{""question_id"": 22, ""difficulty"": ""orta"", ""category"": ""B"", ""question_index"": 3}"
question_response,102079.0,1779276580.462936,90.924,"{""question_id"": 22, ""difficulty"": ""orta"", ""category"": ""B"", ""selected_answer"": 0, ""correct_answer"": 0, ""is_correct"": true, ""rt_ms"": 1360}"
stimulus_onset,102081.19999999925,1779276580.4660535,90.928,"{""question_id"": 24, ""stim_type"": ""sequence"", ""stim_dur"": 6000}"
stimulus_offset,108097.40000000224,1779276586.485761,96.947,"{""question_id"": 24}"
question_onset,108103.5,1779276586.490171,96.952,"{""question_id"": 24, ""difficulty"": ""orta"", ""category"": ""B"", ""question_index"": 4}"
question_response,109275.30000000075,1779276587.6600199,98.122,"{""question_id"": 24, ""difficulty"": ""orta"", ""category"": ""B"", ""selected_answer"": 1, ""correct_answer"": 1, ""is_correct"": true, ""rt_ms"": 1172}"
stimulus_onset,109277.90000000224,1779276587.6621969,98.124,"{""question_id"": 27, ""stim_type"": ""sequence"", ""stim_dur"": 6000}"
stimulus_offset,115281.69999999925,1779276593.9775655,104.439,"{""question_id"": 27}"
question_onset,115285.30000000075,1779276593.9818468,104.443,"{""question_id"": 27, ""difficulty"": ""orta"", ""category"": ""B"", ""question_index"": 5}"
question_response,116631.69999999925,1779276595.016011,105.478,"{""question_id"": 27, ""difficulty"": ""orta"", ""category"": ""B"", ""selected_answer"": 3, ""correct_answer"": 2, ""is_correct"": false, ""rt_ms"": 1346}"
stimulus_onset,116634.19999999925,1779276595.0192907,105.481,"{""question_id"": 29, ""stim_type"": ""sternberg"", ""stim_dur"": 9000}"
stimulus_offset,125646.0,1779276604.0322742,114.494,"{""question_id"": 29}"
question_onset,125652.19999999925,1779276604.037366,114.499,"{""question_id"": 29, ""difficulty"": ""orta"", ""category"": ""B"", ""question_index"": 6}"
question_response,126694.5,1779276605.078637,115.540,"{""question_id"": 29, ""difficulty"": ""orta"", ""category"": ""B"", ""selected_answer"": 1, ""correct_answer"": 0, ""is_correct"": false, ""rt_ms"": 1042}"
block_end,126695.0,1779276605.082046,115.544,"{""difficulty"": ""orta"", ""difficulty_index"": 1}"
nasa_eeg_pause_start,126699.60000000149,1779276605.089217,115.551,"{""difficulty"": ""orta"", ""countdown_duration_sec"": 30}"
nasa_onset,126700.19999999925,1779276605.0925443,115.554,"{""difficulty"": ""orta""}"
nasa_eeg_pause_start,126700.60000000149,1779276605.095733,115.557,"{""difficulty"": ""orta"", ""countdown_duration_sec"": 30}"
nasa_eeg_pause_end,156807.0,1779276635.1932359,145.655,"{""difficulty"": ""orta"", ""auto_submitted"": true, ""touched_count"": 6, ""rtlx_score"": 45.83}"
nasa_submit,156808.19999999925,1779276635.1978388,145.659,"{""difficulty"": ""orta"", ""rtlx_score"": 45.83, ""auto_submitted"": true, ""touched_count"": 6}"
block_start,156816.30000000075,1779276635.2089596,145.670,"{""difficulty"": ""zor"", ""difficulty_index"": 2, ""total_questions"": 7}"
question_onset,156815.19999999925,1779276635.2123687,145.674,"{""question_id"": 9, ""difficulty"": ""zor"", ""category"": ""U"", ""question_index"": 0}"
block_start,156814.0,1779276635.216481,145.678,"{""difficulty"": ""zor"", ""difficulty_index"": 2, ""total_questions"": 7}"
question_onset,156816.80000000075,1779276635.2184784,145.680,"{""question_id"": 9, ""difficulty"": ""zor"", ""category"": ""U"", ""question_index"": 0}"
question_response,181394.5,1779276659.779996,170.242,"{""question_id"": 9, ""difficulty"": ""zor"", ""category"": ""U"", ""selected_answer"": 1, ""correct_answer"": 1, ""is_correct"": true, ""rt_ms"": 24578}"
question_onset,181397.1000000015,1779276659.7840984,170.246,"{""question_id"": 10, ""difficulty"": ""zor"", ""category"": ""U"", ""question_index"": 1}"
question_response,182907.80000000075,1779276661.29094,171.752,"{""question_id"": 9, ""difficulty"": ""zor"", ""category"": ""U"", ""selected_answer"": 0, ""correct_answer"": 1, ""is_correct"": false, ""rt_ms"": 1511}"
block_start,279708.30000000075,1779276758.418869,268.880,"{""difficulty"": ""zor"", ""difficulty_index"": 2, ""total_questions"": 7}"
question_onset,279710.19999999925,1779276758.4249072,268.886,"{""question_id"": 10, ""difficulty"": ""zor"", ""category"": ""U"", ""question_index"": 1}"
question_onset,279728.0,1779276758.432901,268.894,"{""question_id"": 9, ""difficulty"": ""zor"", ""category"": ""U"", ""question_index"": 0}"
question_onset,425945.6000000015,1779276904.6484199,415.110,"{""question_id"": 10, ""difficulty"": ""zor"", ""category"": ""U"", ""question_index"": 1}"
question_response,425943.30000000075,1779276904.6522858,415.114,"{""question_id"": 9, ""difficulty"": ""zor"", ""category"": ""U"", ""selected_answer"": 1, ""correct_answer"": 1, ""is_correct"": true, ""rt_ms"": 146216}"
question_response,426919.6000000015,1779276905.3038623,415.765,"{""question_id"": 10, ""difficulty"": ""zor"", ""category"": ""U"", ""selected_answer"": 1, ""correct_answer"": 1, ""is_correct"": true, ""rt_ms"": 974}"
stimulus_onset,426922.40000000224,1779276905.3063743,415.768,"{""question_id"": 31, ""stim_type"": ""nback"", ""stim_dur"": 12000}"
stimulus_offset,439685.90000000224,1779276918.0703661,428.532,"{""question_id"": 31}"
question_onset,439688.6000000015,1779276918.0743632,428.536,"{""question_id"": 31, ""difficulty"": ""zor"", ""category"": ""B"", ""question_index"": 2}"
question_response,458834.80000000075,1779276939.3684516,449.830,"{""question_id"": 31, ""difficulty"": ""zor"", ""category"": ""B"", ""selected_answer"": 0, ""correct_answer"": 2, ""is_correct"": false, ""rt_ms"": 19146}"
stimulus_onset,458837.1000000015,1779276939.3714333,449.833,"{""question_id"": 32, ""stim_type"": ""sternberg"", ""stim_dur"": 25000}"
stimulus_offset,484676.0,1779276963.3713727,473.833,"{""question_id"": 32}"
question_onset,484680.0,1779276963.3738585,473.835,"{""question_id"": 32, ""difficulty"": ""zor"", ""category"": ""B"", ""question_index"": 3}"
question_response,513075.6000000015,1779276991.4602623,501.922,"{""question_id"": 32, ""difficulty"": ""zor"", ""category"": ""B"", ""selected_answer"": 1, ""correct_answer"": 1, ""is_correct"": true, ""rt_ms"": 28396}"
stimulus_onset,513077.6000000015,1779276991.4643188,501.926,"{""question_id"": 34, ""stim_type"": ""sequence"", ""stim_dur"": 10000}"
stimulus_offset,523079.40000000224,1779277001.4658048,511.927,"{""question_id"": 34}"
question_onset,523082.40000000224,1779277001.4696338,511.931,"{""question_id"": 34, ""difficulty"": ""zor"", ""category"": ""B"", ""question_index"": 4}"
question_response,530210.8000000007,1779277008.5949483,519.056,"{""question_id"": 34, ""difficulty"": ""zor"", ""category"": ""B"", ""selected_answer"": 1, ""correct_answer"": 2, ""is_correct"": false, ""rt_ms"": 7128}"
stimulus_onset,530212.8000000007,1779277008.5984051,519.060,"{""question_id"": 36, ""stim_type"": ""sternberg"", ""stim_dur"": 35000}"
stimulus_offset,565220.6000000015,1779277043.611266,554.073,"{""question_id"": 36}"
question_onset,565223.6000000015,1779277043.6163552,554.078,"{""question_id"": 36, ""difficulty"": ""zor"", ""category"": ""B"", ""question_index"": 5}"
question_response,573723.1999999993,1779277052.1079588,562.569,"{""question_id"": 36, ""difficulty"": ""zor"", ""category"": ""B"", ""selected_answer"": 0, ""correct_answer"": 0, ""is_correct"": true, ""rt_ms"": 8500}"
stimulus_onset,573725.1999999993,1779277052.1109898,562.573,"{""question_id"": 39, ""stim_type"": ""sequence"", ""stim_dur"": 6000}"
stimulus_offset,579736.8000000007,1779277058.1212478,568.583,"{""question_id"": 39}"
question_onset,579740.6999999993,1779277058.1267185,568.588,"{""question_id"": 39, ""difficulty"": ""zor"", ""category"": ""B"", ""question_index"": 6}"
question_response,593367.5,1779277071.7522657,582.214,"{""question_id"": 39, ""difficulty"": ""zor"", ""category"": ""B"", ""selected_answer"": 2, ""correct_answer"": 2, ""is_correct"": true, ""rt_ms"": 13627}"
block_end,593368.0,1779277071.755246,582.217,"{""difficulty"": ""zor"", ""difficulty_index"": 2}"
nasa_eeg_pause_start,593376.5,1779277071.7650857,582.227,"{""difficulty"": ""zor"", ""countdown_duration_sec"": 30}"
nasa_onset,593377.1000000015,1779277071.7691574,582.231,"{""difficulty"": ""zor""}"
nasa_eeg_pause_start,593377.9000000022,1779277071.772824,582.234,"{""difficulty"": ""zor"", ""countdown_duration_sec"": 30}"
nasa_eeg_pause_end,623482.6999999993,1779277101.8819532,612.343,"{""difficulty"": ""zor"", ""auto_submitted"": true, ""touched_count"": 6, ""rtlx_score"": 37.5}"
nasa_submit,623484.1000000015,1779277101.8839567,612.345,"{""difficulty"": ""zor"", ""rtlx_score"": 37.5, ""auto_submitted"": true, ""touched_count"": 6}"
